mean_x,std_x,mean_y,std_y,mean_z,std_z,Activity
-1.88002,3.23737,-6.56522,3.05208,-2.31427,6.33029,hand_wash
-2.56008,3.07870,-4.24315,3.52087,6.53263,5.78198,hand_wash
-1.22445,1.46116,-8.21583,2.54632,-0.58435,3.34638,hand_wash
-3.49804,3.43644,-7.41827,3.62140,-2.13140,5.98941,hand_wash
-3.73749,3.47594,-7.02681,4.88252,-0.55582,6.50220,hand_wash
-1.36762,3.14682,-7.40536,2.81652,0.18830,7.13764,hand_wash
-3.11250,2.22589,-6.95630,3.32730,-2.90283,4.91544,hand_wash
-3.75184,2.41697,-6.73917,2.96527,-2.45121,5.05053,hand_wash
-3.42953,2.34880,-6.70292,3.46655,-2.81409,4.79005,hand_wash
-3.04397,3.52087,-4.62488,3.98420,2.27499,7.76347,hand_wash
-3.04738,3.12174,-7.18522,3.45793,-1.09512,5.89837,hand_wash
-2.66769,3.85748,-6.22991,4.19939,3.10607,7.49500,hand_wash
-4.28644,3.13196,-5.29388,4.64622,-0.37777,6.85601,hand_wash
-3.95768,6.49334,-4.98941,4.01631,2.68330,7.45074,hand_wash
-4.14040,9.51432,-3.67368,4.58490,6.31613,5.87957,hand_wash
-4.29174,3.20320,-5.65935,4.83152,-5.38628,5.26787,hand_wash
-5.02236,3.66953,-3.68837,4.97346,3.51346,8.42894,hand_wash
-3.50945,4.00328,-6.12734,5.09412,1.48215,7.81362,hand_wash
-3.58689,5.26204,-6.21040,5.89236,-1.42165,8.46692,hand_wash
-3.09629,2.99034,-5.14103,4.09687,2.37192,7.91890,hand_wash
4.70343,1.95246,-4.69692,4.98130,4.76917,3.98110,hand_wash
5.47120,1.92929,-3.98122,3.87135,5.32160,3.22196,hand_wash
-2.71373,1.95197,-6.10473,3.05271,0.90755,6.73184,hand_wash
-3.78477,3.46202,-4.91887,5.58263,2.35394,6.79985,hand_wash
-4.18849,3.59516,-5.89706,4.19008,-4.87780,5.89256,hand_wash
-4.35370,3.44157,-5.39076,5.63705,-0.49311,7.36670,hand_wash
-4.69300,4.11472,-1.78482,4.81237,7.68672,6.57681,hand_wash
-2.71364,2.36027,-6.87632,2.80062,-1.65290,5.90501,hand_wash
-2.86414,3.40401,-5.33651,3.46309,1.83536,7.94493,hand_wash
-4.24799,3.83010,-5.36040,4.45019,-4.56585,7.06208,hand_wash
-4.31020,3.67896,-5.25856,4.57231,0.08812,7.52752,hand_wash
-3.53334,2.42244,-6.42412,3.06199,-1.46521,6.22881,hand_wash
-1.55618,5.69005,-5.56783,5.71888,5.34921,6.18912,hand_wash
-4.06345,2.72638,-5.90946,4.31753,-1.58455,6.43834,hand_wash
-4.41426,2.83864,-5.89423,3.51625,-0.61181,6.02491,hand_wash
-3.98204,4.13366,-5.62758,4.47221,-2.78356,7.95523,hand_wash
-4.55076,2.73116,-5.17646,4.01328,-3.27659,6.25979,hand_wash
-4.52921,4.29963,-3.51076,3.83019,7.59062,4.95650,hand_wash
-4.34317,2.65290,-5.36975,3.84554,-1.17586,6.90233,hand_wash
-4.09215,3.16843,-6.18022,3.90188,-1.45831,6.33080,hand_wash
-2.69964,3.09639,-6.98502,4.13357,-1.09083,6.60031,hand_wash
-2.50886,3.39750,-5.72761,3.85489,2.52001,7.16433,hand_wash
-2.71328,2.90693,-6.45130,3.74346,-3.05675,6.24996,hand_wash
-2.42324,3.70684,-5.94998,3.80126,0.90285,8.26689,hand_wash
4.90294,1.94691,-4.59230,2.92287,5.98527,3.58696,hand_wash
4.30639,1.89414,-6.43712,3.32314,2.96751,3.81359,hand_wash
3.60141,1.97785,-5.05723,5.46777,3.36244,4.57724,hand_wash
-2.39401,3.48703,-7.27561,4.09334,-2.30712,6.43695,hand_wash
-3.79003,2.40793,-7.22663,3.21912,-2.74296,4.30317,hand_wash
-3.57349,3.19096,-6.68360,3.13638,-4.07175,5.06881,hand_wash
-3.30053,1.97987,-3.06422,3.64567,7.78180,4.27938,hand_wash
-4.03272,2.81707,-5.61092,3.89619,-0.91530,6.39144,hand_wash
4.86478,1.65518,-5.00650,4.15761,4.92264,3.62125,hand_wash
4.14143,2.83459,-5.31638,4.74321,4.52063,4.66496,hand_wash
5.15946,2.49200,-4.69619,3.51479,4.78299,4.55686,hand_wash
5.72356,3.21849,-5.02626,4.40451,3.59321,6.08713,hand_wash
5.24640,2.19863,-6.49434,3.39646,2.67724,3.77308,hand_wash
6.29006,2.55813,-4.17771,4.41750,4.12358,4.50924,hand_wash
4.00858,3.43462,-2.98200,5.66952,4.34967,4.97596,hand_wash
-2.78032,3.12438,-7.25332,3.47051,-1.30710,6.12130,hand_wash
-2.88314,2.99003,-6.28291,3.26930,-1.46860,6.73340,hand_wash
-2.85441,3.16488,-6.83040,3.76201,-1.34444,6.34753,hand_wash
-3.09606,1.99852,-3.52185,3.48594,5.55280,6.20417,hand_wash
-4.83895,2.64311,-5.11890,4.31429,1.47911,6.42656,hand_wash
-4.29952,3.80544,-6.04404,3.60771,-4.63134,5.62778,hand_wash
-4.57750,2.49981,-4.78936,4.72975,1.99214,6.49557,hand_wash
-4.51004,2.58118,-5.18770,4.03032,0.26779,6.57094,hand_wash
-3.59436,2.20312,-5.25565,2.95370,0.45638,7.17338,hand_wash
-3.06383,3.40364,-7.09028,4.61551,-0.31911,7.16396,hand_wash
-3.80672,3.25947,-7.12926,3.53879,-2.30444,5.33119,hand_wash
5.14632,2.72260,-6.26005,3.75730,2.14248,3.58599,hand_wash
4.94847,2.28463,-4.91109,4.24242,4.68766,4.73809,hand_wash
5.52847,1.63932,-6.27056,2.81068,2.48450,2.96838,hand_wash
4.71258,1.25189,-6.50880,2.93242,3.69787,2.69085,hand_wash
1.73268,2.11546,-8.31741,3.36642,-1.99129,3.56434,hand_wash
2.13547,2.14703,-7.04161,5.10115,0.89726,5.06747,hand_wash
-3.12014,2.35235,-6.56942,3.11389,-0.96567,5.89635,hand_wash
-3.42717,2.37373,-7.55773,3.25295,-1.38442,4.42926,hand_wash
-8.87169,4.98316,-4.06447,3.82907,0.31599,2.73431,not_hand_wash
-9.09217,3.25505,-4.21286,2.56663,-0.62764,1.98842,not_hand_wash
-3.26673,5.40469,-4.41475,2.62627,-4.20078,4.16000,not_hand_wash
2.09092,0.86448,-7.71272,1.98725,-3.79831,1.30270,not_hand_wash
1.20342,0.73332,-8.32536,1.96673,-2.87526,1.00535,not_hand_wash
-0.09033,4.32261,-7.66123,2.70850,-2.07178,1.61550,not_hand_wash
-5.48487,5.48772,-4.45012,2.96351,-4.01334,4.11823,not_hand_wash
-2.73415,0.71816,-6.61163,1.57891,-5.15917,1.30709,not_hand_wash
-8.22487,2.68403,-1.76262,3.37315,-0.22698,2.44502,not_hand_wash
-8.34303,2.25337,-2.31945,2.01749,3.09757,1.49450,not_hand_wash
-8.12540,1.81206,-1.97933,0.50916,4.56564,1.07552,not_hand_wash
-8.32276,1.85366,-2.40585,0.62356,3.86073,0.92739,not_hand_wash
-8.22283,1.84824,-3.13104,0.83311,3.36869,0.80949,not_hand_wash
-7.87275,2.32272,-2.95871,1.65884,1.36903,3.31186,not_hand_wash
1.63564,1.99128,-4.95489,1.23327,-6.88323,1.60545,not_hand_wash
2.74925,0.69345,-4.79974,1.26834,-6.82470,1.59341,not_hand_wash
2.33545,0.60726,-5.65302,1.82696,-6.18966,1.76200,not_hand_wash
1.48438,1.30187,-6.25175,2.01866,-5.13456,3.09288,not_hand_wash
2.34960,0.94504,-8.49122,2.11695,2.28300,1.07397,not_hand_wash
-2.58831,6.79388,-7.23731,2.90963,0.58215,3.09477,not_hand_wash
-4.45491,7.99147,-0.96816,6.57733,0.12663,8.43537,not_hand_wash
-8.33528,6.57754,-4.06658,5.08864,0.02548,5.56606,not_hand_wash
-9.18857,3.97657,-3.99655,3.22745,-0.06074,4.33560,not_hand_wash
2.92383,2.06837,-5.27495,2.29380,1.41441,6.53422,not_hand_wash
0.97147,3.10930,-6.45958,3.86761,-3.82113,4.10837,not_hand_wash
2.12721,1.18043,-8.76189,2.12100,-0.46417,1.00510,not_hand_wash
-3.01635,7.55989,-5.94159,3.13428,-0.55659,2.04863,not_hand_wash
-1.82747,5.03840,-2.77624,6.73733,-7.90503,7.28201,not_hand_wash
-0.57623,3.45724,-0.11544,2.86851,-8.00008,2.50751,not_hand_wash
2.52165,3.47398,2.96899,8.87304,3.52774,6.01684,not_hand_wash
2.14479,1.52811,7.07706,2.40835,5.72570,2.79857,not_hand_wash
1.60544,3.23061,5.92139,4.53751,5.57433,4.34409,not_hand_wash
