mean_x,std_x,mean_y,std_y,mean_z,std_z,Activity
-4.26764,4.12306,-4.49338,4.58044,-5.77418,5.64604,hand_wash
-4.55339,3.24206,-5.31048,6.08690,4.49139,6.17663,hand_wash
-4.51525,4.36296,-1.21314,4.03046,8.25249,4.99998,hand_wash
-4.77114,4.70544,-2.06071,5.70571,7.27881,7.25090,hand_wash
-4.79335,3.15221,-2.08318,4.55046,7.52504,7.25095,hand_wash
-2.85075,1.03183,-1.84570,0.83933,9.05781,2.15000,hand_wash
-1.84225,1.04858,-6.39456,3.31181,4.13321,5.16999,hand_wash
-3.40824,3.30962,-6.72021,2.52252,-4.79640,4.72769,hand_wash
-2.82543,1.81928,-7.46236,2.45718,-3.82070,3.18004,hand_wash
-3.69136,3.51391,-6.55110,3.09012,-5.31545,4.39649,hand_wash
-2.95044,2.19216,-6.65890,3.54106,1.77945,6.79626,hand_wash
-2.00138,4.00959,-2.94048,2.26734,8.64170,5.11032,hand_wash
-1.76222,2.76929,-3.06844,2.43428,8.81160,3.84779,hand_wash
-3.71524,3.34797,-5.76965,5.16320,-3.57735,6.32180,hand_wash
-4.70448,2.74174,-5.05268,3.65057,-5.48101,5.14725,hand_wash
-4.22892,4.93939,-5.33249,4.56072,-4.46298,8.96440,hand_wash
-3.66894,2.83198,-6.63680,4.65319,-0.52121,6.33197,hand_wash
-4.88914,4.19484,-5.26131,3.93473,-6.03189,5.07524,hand_wash
-4.35124,3.78188,-3.99259,4.72843,6.42670,5.04679,hand_wash
-4.60024,1.27308,-1.80597,0.64654,8.35520,1.92846,hand_wash
-2.90077,2.04508,-5.68269,3.39031,3.69465,5.70980,hand_wash
-4.14924,3.29770,-6.94330,3.20441,-3.45338,6.10731,hand_wash
-3.48798,1.32178,-6.57368,2.44227,-4.13104,3.35070,hand_wash
-3.24020,2.81330,-7.34775,3.56201,1.85158,4.41893,hand_wash
-1.05614,5.24707,-5.29407,4.49180,7.85516,5.91731,hand_wash
-0.45555,7.54849,-4.14742,7.73836,6.15405,6.43568,hand_wash
-1.55845,11.41992,-0.32203,14.46596,5.97906,9.83853,hand_wash
-2.44991,5.37545,-3.64570,5.23855,8.16700,4.08788,hand_wash
-3.52443,1.71985,-5.62686,3.21164,3.55702,5.64828,hand_wash
-3.98800,3.12364,-5.99688,4.42953,-2.98758,5.74247,hand_wash
-4.63865,2.97089,-6.08533,5.06631,-4.97017,4.60501,hand_wash
-4.75177,3.16078,-5.46326,4.41479,4.54575,3.62218,hand_wash
-4.63708,3.11913,-5.24472,2.89384,-5.61338,4.63910,hand_wash
-3.84385,2.01762,-6.97676,2.68417,-1.17168,4.76135,hand_wash
-3.70148,2.25740,-4.10425,3.64611,7.49497,3.33912,hand_wash
-3.88527,3.12594,-5.33854,4.27740,0.73484,6.98664,hand_wash
-4.34036,4.48353,-6.28017,4.71956,-3.92033,7.94726,hand_wash
-3.68532,4.56081,-5.19306,4.33770,-4.85698,7.79798,hand_wash
-4.62960,2.78564,-3.86162,3.84436,-6.56122,5.17674,hand_wash
-4.55349,2.91865,-5.43221,3.21601,-4.82049,4.25948,hand_wash
-4.47236,2.51422,-6.20525,4.49505,1.31146,6.10971,hand_wash
-4.81863,3.35152,-4.51535,3.29843,6.93773,4.42982,hand_wash
-4.01697,2.71490,-2.81204,2.74947,8.04391,3.86586,hand_wash
-4.75204,6.06683,-3.20489,4.92369,7.79023,6.23842,hand_wash
-4.02782,1.23457,-4.52480,3.18798,6.14279,4.47823,hand_wash
