mean_x,std_x,mean_y,std_y,mean_z,std_z,Activity
-1.58385,3.28500,-6.62669,2.79543,-0.96069,6.70357,hand_wash
-2.31725,2.55278,-6.64714,3.11292,-1.30913,6.14914,hand_wash
-2.72833,3.50276,-3.00333,3.18296,8.58474,4.73812,hand_wash
-0.90962,0.51158,-8.30731,2.60156,0.36440,3.20258,hand_wash
-2.62824,3.11789,-7.77860,2.85060,-3.38318,4.59009,hand_wash
-3.48217,3.33833,-7.38767,3.79690,-1.01336,5.77271,hand_wash
-3.81635,3.53632,-6.52768,5.28407,-0.15172,6.84509,hand_wash
-3.65663,3.59747,-7.55703,3.55281,-2.60050,6.11433,hand_wash
-0.66265,2.19204,-7.55454,2.71039,2.65957,5.62891,hand_wash
-2.86110,3.22249,-7.06541,3.77137,-4.97291,5.74951,hand_wash
-3.15269,2.36561,-6.93223,2.61381,-1.61334,5.08288,hand_wash
-3.85833,2.51541,-6.70997,2.96675,-3.07112,4.71893,hand_wash
-3.52071,2.04612,-6.81151,3.23423,-2.64134,4.81221,hand_wash
-3.40014,2.56415,-6.63961,3.45051,-2.15035,5.22437,hand_wash
-3.28220,3.44297,-6.39020,3.12188,-1.31089,6.95091,hand_wash
-2.94082,3.12029,-6.92602,3.54027,0.05811,6.24697,hand_wash
-3.46435,3.26120,-7.58103,3.53812,-3.10423,5.44303,hand_wash
-2.19490,3.98080,-5.64289,4.25339,5.92648,6.24973,hand_wash
-4.19853,3.10623,-5.15026,3.89536,-1.90929,6.97026,hand_wash
-4.19507,3.28696,-5.61951,4.56471,-1.11892,6.49729,hand_wash
-3.96325,7.59398,-4.64449,4.42975,6.33212,5.43491,hand_wash
-3.58520,10.17029,-4.14902,4.49164,5.84509,5.73342,hand_wash
-4.15138,2.77716,-5.59967,4.32204,-5.43597,4.54296,hand_wash
-4.79326,3.58696,-5.88227,5.62226,-5.03423,6.15017,hand_wash
-5.02222,3.85490,-2.63459,4.30173,7.31071,6.48985,hand_wash
-3.30177,2.73560,-5.75130,4.34092,3.12196,6.49882,hand_wash
-3.56158,5.93699,-6.78087,5.72920,-2.57026,8.80424,hand_wash
-3.77329,4.65944,-5.92223,6.20293,-0.24396,8.25707,hand_wash
-3.58921,3.17663,-6.62791,3.98413,-0.93204,7.68402,hand_wash
4.17477,1.95685,-4.20530,5.39784,5.44661,4.28782,hand_wash
5.75384,1.95613,-3.69206,4.40077,4.71726,3.23843,hand_wash
5.30666,1.68299,-5.07335,3.31323,5.01774,3.26099,hand_wash
-2.36332,1.90869,-6.01698,2.73875,-1.42062,6.65234,hand_wash
-3.87642,3.07187,-3.99676,5.16686,6.68173,3.97868,hand_wash
-3.45721,3.19454,-6.59490,4.83564,-0.73594,6.24933,hand_wash
-2.79563,2.98161,-4.96569,3.56819,0.71883,7.88455,hand_wash
-3.98075,3.01621,-6.27824,4.13922,-4.28805,4.92176,hand_wash
-4.40271,3.73930,-5.78559,5.20859,-3.09932,7.37716,hand_wash
-4.41121,3.70033,-4.90392,5.39261,-0.61635,7.83148,hand_wash
-4.64260,4.52773,-1.63494,4.94234,7.76794,6.22718,hand_wash
-3.82205,2.53428,-1.96444,3.26642,8.29143,5.39029,hand_wash
-2.65394,2.60611,-6.56335,2.92605,-0.49523,6.65902,hand_wash
-3.25840,2.82462,-7.00673,2.82197,-4.56807,3.89996,hand_wash
-2.46235,3.28316,-4.74657,3.48738,5.30861,6.89278,hand_wash
-4.25856,3.06188,-5.37587,4.39964,-4.62288,5.76992,hand_wash
-3.95980,4.06546,-5.95931,4.64034,-2.56863,8.03844,hand_wash
-4.61251,3.98731,-4.60882,4.39684,0.37538,8.02778,hand_wash
-3.55719,2.83789,-6.34548,3.34535,-0.06359,6.90628,hand_wash
-3.36409,2.19602,-6.96071,3.07098,-1.13973,4.92883,hand_wash
-0.75724,6.48692,-4.72341,6.33085,7.00856,6.22491,hand_wash
-2.00627,8.90166,-1.99167,10.96088,7.07817,7.58284,hand_wash
-3.76361,2.54687,-5.81778,3.88218,0.18029,6.56030,hand_wash
