@RELATION wada

@ATTRIBUTE mean_x numeric
@ATTRIBUTE std_x numeric
@ATTRIBUTE mean_y numeric
@ATTRIBUTE std_y numeric
@ATTRIBUTE mean_z numeric
@ATTRIBUTE std_z numeric
@ATTRIBUTE Activity {hand_wash,not_hand_wash}

@DATA
3.33961,5.43403,1.79429,6.94933,-0.33034,6.99777,not_hand_wash
6.98025,2.49427,3.43153,3.60790,-2.56885,2.56978,not_hand_wash
5.78814,1.65554,6.10362,1.85656,5.33157,1.43164,not_hand_wash
6.52963,1.65365,1.94672,3.28738,5.78685,1.74404,not_hand_wash
5.02722,3.65699,6.17433,6.02739,4.44199,5.27541,not_hand_wash
-1.20525,2.90316,2.22467,4.09748,8.64970,3.94589,not_hand_wash
0.70060,0.48012,8.66015,2.05599,4.54162,1.39643,not_hand_wash
0.89699,0.21047,8.09256,1.81257,5.57114,1.27957,not_hand_wash
0.84802,0.24839,7.99633,1.78758,5.72193,1.28766,not_hand_wash
0.91357,0.27268,7.94259,1.77027,5.81297,1.30001,not_hand_wash
0.83147,0.23875,8.04331,1.80036,5.62015,1.26490,not_hand_wash
0.75662,0.26305,8.10444,1.83109,5.58555,1.24881,not_hand_wash
0.83320,0.21622,7.98469,1.78022,5.74227,1.27924,not_hand_wash
0.83323,0.19764,7.94546,1.77124,5.81234,1.29919,not_hand_wash
0.84615,0.19920,7.99888,1.78560,5.72531,1.28027,not_hand_wash
0.89040,0.85996,8.26234,1.81031,5.45897,1.05430,not_hand_wash
4.13934,4.74056,4.83707,8.90674,-2.45836,5.23000,not_hand_wash
0.29124,5.54955,3.02697,7.04466,4.26754,6.09359,not_hand_wash
1.52221,4.46410,0.99701,7.93546,5.58196,5.80018,not_hand_wash
7.08925,2.22003,6.03787,1.80632,1.06197,1.68380,not_hand_wash
7.66520,1.77703,5.33411,1.80660,0.27317,1.36858,not_hand_wash
7.66023,1.72248,5.45129,1.33456,-0.09278,1.13285,not_hand_wash
7.76265,1.70861,4.79965,1.82634,1.93763,1.86244,not_hand_wash
8.06506,1.36690,4.68255,1.33853,2.23897,1.22153,not_hand_wash
7.20507,0.95881,6.60457,1.05767,-1.16200,1.19390,not_hand_wash
8.07074,1.92385,4.10544,1.38639,1.72820,1.48249,not_hand_wash
7.01080,1.65859,5.98200,1.63762,-1.42687,1.24719,not_hand_wash
7.94218,2.00209,6.26499,1.57102,-0.25421,0.62213,not_hand_wash
-4.12382,6.40268,2.19686,6.23036,5.57367,5.35325,not_hand_wash
-8.08007,6.18520,1.56425,5.10299,4.21554,5.18629,not_hand_wash
-6.60458,5.53466,4.46863,2.96630,0.57126,4.63166,not_hand_wash
6.02997,2.81796,5.22799,3.05098,-0.69933,2.60624,not_hand_wash
-0.95940,2.26705,9.78412,3.30116,0.16335,3.25473,not_hand_wash
2.86929,1.74420,5.74402,3.74879,5.21597,5.62403,not_hand_wash
2.27832,0.63328,5.96631,1.48285,7.54042,1.74474,not_hand_wash
2.54978,0.61296,5.76006,1.42325,7.88744,1.77774,not_hand_wash
3.51621,2.84055,6.49223,3.23990,3.83439,4.34209,not_hand_wash
3.73801,3.61204,-0.42720,9.14634,1.76660,4.24907,not_hand_wash
6.27302,3.31333,6.66412,2.54373,0.62445,1.83740,not_hand_wash
7.91293,1.81122,5.02552,1.24716,1.02149,1.05408,not_hand_wash
7.49111,1.67408,5.79884,1.30878,1.18769,0.35092,not_hand_wash
7.18638,1.64567,6.31120,1.45631,0.48574,0.35565,not_hand_wash
3.75490,2.02086,6.39884,1.72363,5.38327,3.65368,not_hand_wash
3.10869,3.63022,7.12433,4.29563,3.86714,2.04240,not_hand_wash
7.68819,2.42640,1.16984,3.32572,-4.25088,3.10496,not_hand_wash
7.91271,1.64999,3.53651,1.10997,-3.08892,1.11398,not_hand_wash
5.78852,1.69501,4.24278,1.66594,6.35753,3.51686,not_hand_wash
5.62590,1.29276,5.35315,1.40247,5.90100,1.39258,not_hand_wash
4.15994,1.76739,5.16362,3.64530,5.88295,2.25072,not_hand_wash
-1.26966,2.10694,-0.78256,2.95131,9.59391,3.32793,not_hand_wash
0.67647,1.72727,-2.68567,6.78166,5.96072,3.39450,not_hand_wash
