1187564
1197862,1,3,-0.05029541,1.7136365,9.941726
1197867,1,3,-0.1592688,1.6166382,9.883048
1197872,1,3,-0.12693603,1.607058,9.874665
1197877,1,3,-0.11376343,1.6525635,9.798025
1197882,1,3,-0.27303222,1.7028589,9.78126
1197887,1,3,-0.29937744,1.7004639,9.769284
1197891,1,3,-0.34608033,1.780697,9.720187
1197896,1,3,-0.24668701,1.712439,9.7956295
1197901,1,3,-0.3161426,1.6705261,9.780063
1197906,1,3,-0.40236327,1.6681311,9.798025
1197911,1,3,-0.48379394,1.6753162,9.730965
1197916,1,3,-0.35925293,1.5843054,9.81958
1197921,1,3,-0.5005591,1.4992822,9.813593
1197926,1,3,-0.5053491,1.4956897,9.922565
1197931,1,3,-0.49816406,1.353186,9.959689
1197936,1,3,-0.5484595,1.275348,9.986034
1197941,1,3,-0.63468015,1.1400293,10.1824255
1197946,1,3,-0.5783972,1.0262659,10.195599
1197951,1,3,-0.5233118,1.0418335,10.342892
1197956,1,3,-0.48139894,1.0813513,10.296189
1197961,1,3,-0.47660887,1.0071057,10.259067
1197965,1,3,-0.37721556,0.91609496,10.304571
1197970,1,3,-0.4897815,0.92328,10.352472
1197975,1,3,-0.47062135,0.8298743,10.32972
1197980,1,3,-0.44786865,0.8454419,10.283016
1197985,1,3,-0.37362304,0.8346643,10.085427
1197990,1,3,-0.3820056,0.88735473,9.947714
1197995,1,3,-0.3939807,0.9472302,9.9644785
1198000,1,3,-0.33889526,0.7484436,9.898616
1198005,1,3,-0.3197351,0.6610254,9.916578
1198010,1,3,-0.17244141,0.6227051,9.843531
1198015,1,3,-0.38919067,0.5783972,10.006392
1198020,1,3,-0.42032593,0.40835083,10.296189
1198025,1,3,-0.5388794,0.14489868,10.450667
1198030,1,3,-0.5017566,-0.081430666,10.4494705
1198035,1,3,-0.41433838,-0.25147706,10.639874
1198040,1,3,-0.41194335,-0.42391846,10.552456
1198044,1,3,-0.2562671,-0.54247195,10.730885
